,Activity_Regex,Age_Regex,Sex_Regex,Species_Regex,Fatal_Regex
2889,swimming,18,f,1.2 m [4'] shark,n
2893,surfing,27,m,White shark,n
2894,towing her sister on plastic ski board,13,f,Hammerhead shark,n
2902,scuba diving,33,m, 1.5 m [5'] dusky shark,n
2904,spearfishing,27,m,1.5 m white-tipped reef shark,n
2905,swimming,14,m,Raggedtooth shark,n
2911,scuba diving,48,m,White shark,n
2913,swimming,47,m,Raggedtooth shark,n
2916,surfing,15,m,Tiger shark,n
2918,surfing,16,m,1.5 m [5'] shark,n
2919,wading,20,m,4.5' shark,n
2922,spearfishing,29,m,White shark,n
2923,swimming,14,f,sand shark,n
2924,skindiving,14,m,Nurse shark,n
2925,diving,22,f,Bull shark,n
2927,swimming,21,f,Tiger shark,y
2928,swimming,24,m,Tiger shark,y
2929,14 m prawn trawler new venture capsized  & sank in heavy seas three people in the water,28,m,Tiger shark,n
2931,windsurfing,39,f,Hammerhead shark,n
2940,water-skiing,21,m,6' shark,n
2944,fishing,27,m,Raggedtooth shark,n
2947,spearfishing,17,m,1.8 m [6'] zambezi shark,n
2951,paddleskiing,16,m,3 m [10'] shark,n
2955,spearfishing,32,m,White shark,n
2960,windsurfing,26,m,1.5 m [5'] shark,n
2962,surfing,16,m,White shark,n
2963,surfing,20,m,1.5 m [5'] shark,n
2964,diving,36,m,White shark,n
2965,free diving,28,m,White shark,n
2972,paddleskiing,38,m,White shark,n
2973,paddle boarding,26,m,White shark,n
2974,swimming,17,m,0.9 m to 1.2 m [3' to 4'] shark,n
2978,surfing,27,m,White shark,y
2979,swimming,20,m,5' shark,n
2980,spearfishing,19,m,"lemon shark, 2 m [6'9""]",n
2987,spearfishing,32,m,White shark,y
2988,surfing,18,m,4' to 5' shark,n
2995,swimming,20,m,Raggedtooth shark,n
2999,surfing,24,m,White shark,y
3004,diving to untangle a crab trap line from boat's propeller,59,m,"2.1 m [7'] shark with ""a very flat head that had followed the boat for 3 days",n
3005,swimming,19,m,1.8 m to 2.4 m [6' to 8'] shark,n
3008,surfing,24,m,6' shark,n
3011,swimming,26,m,Tiger shark,y
3014,surfing,15,m,6' shark,n
3015,spearfishing,19,m,"1.8 m [6'] shark, species identity questionable",n
3019,snorkeling,53,m,Mako shark,n
3020,swimming,16,f,"""sandshark""",n
3021,surfing,32,m,possibly a  1.8 m [6'] zambezi shark,n
3027,shell diving,27,f,White shark,y
3028,surfing,27,m,Raggedtooth shark,n
3031,surfing,19,m,Raggedtooth shark,n
3034,surfing,24,m,Tiger shark,n
3035,wading,19,m,"1.2 m to 1.5 m [4' to 5'] bull, sandbar or dusky shark",n
3036,surfing,24,m,c. maculpinnis or c. limbatus,n
3039,swimming,30,m,Blacktip shark,n
3042,surfing,15,m,Hammerhead shark,n
3044,spearfishing,25,m,Tiger shark,n
3046,surf-skiing,27,m,Tiger shark,n
3048,paddleskiing,25,m,3.5 m [11.5'] shark,n
3050,spearfishing,22,m,White shark,n
3054,surfing,29,m,White shark,n
3055,surfing,19,m,White shark,n
3061,standing,22,f,4' to 8' shark,n
3064,scuba diving,44,f,Blue shark,n
3065,surfing,22,m,1.8 m [6'] shark,n
3068,surfing,13,f,Tiger shark,n
3069,free diving,52,m,Tiger shark,y
3072,fishing,61,m,Hammerhead shark,n
3073,body boarding,24,m,White shark,n
3074,spearfishing,29,m,2.2 m shark,n
3075,spearfishing,29,m,"2 m [6'9""] zambesi shark",n
3077,swimming,25,m,Raggedtooth shark,n
3079,gaffing netted shark,34,m,1.8 m [6'] dogfish,n
3084,spearfishing,19,m,White shark,y
3085,diving,32,m,6' shark,n
3086,surfing,20,m,White shark,n
3089,scuba diving,18,m,"""a small shark""",n
3096,spearfishing,25,m,White shark,n
3102,surfing,27,m,Blacktip shark,n
3106,surfing,19,m,1.5 m to 2 m [5' to 6.75'] shark,n
3109,spearfishing,23,m,White shark,y
3113,spearfishing,27,m,White shark,n
3115,scuba diving,34,m,15' shark,n
3129,surfing,17,m,Blacktip shark,n
3135,surfing,18,m,Tiger shark,n
3138,spearfishing,25,m,White shark,n
3139,surfing,17,m,White shark,n
3142,free diving,20,m,White shark,n
3145,spearfishing,27,m,Bull shark,n
3146,collecting fish from net,25,m,Bull shark,n
3155,"pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board",24,m,4 m [13'] shark,n
3160,hookah diving for abalone (submerged),29,m,White shark,n
3161,"thrashing the water / imitating the shark victim from ""jaws""",19,m,White shark,n
3163,surfing,19,m,Bull shark,n
3167,surfing,25,m,White shark,n
3168,surfing,20,m,White shark,n
3170,"skindiving,",27,m,2.7 m  [9'] shark,n
3174,surfing,15,m,Tiger shark,n
3176,surfing,19,m,White shark,n
3180,spearfishing,23,m,6' to 8' shark,n
3181,skindiving,17,m,12' to 14' shark,n
3183,fishing,46,m,Blue shark,n
3195,spearfishing,25,m,6' shark,n
3199,spearfishing,27,m,White shark,n
3200,filming & feeding captive sharks,35,m,Nurse shark,n
3201,standing,20,m,5' shark,n
3202,standing,33,m,juvenile dusky shark,n
3204,surfing,18,m,6' shark,n
3206,surfing,20,m,Bronze whaler shark,n
3208,paddleskiing,21,m,1.2 m [4'] shark,n
3209,surfing,19,m,White shark,n
3210,floating on a small orange raft ,20,m,1.5 m [5'] shark,n
3211,free diving,44,m,White shark,n
3214,scuba diving,37,m,White shark,y
3216,surfing,21,m,12' shark,n
3217,scuba diving,23,m,White shark,n
3218,hookah diving for abalone,34,m,White shark,n
3219,swimming,14,f,1.2 m [4'] shark,n
3220,spearfishing,29,m,2.4 m [8'] whaler shark,n
3222,swimming,18,m,4' shark,n
3234,floating in inner tube,14,m,10' shark,n
3238,surfing,16,m,1.5 m [5'] shark,n
3240,swimming,12,m,White shark,y
3241,crayfishing,45,m,"carpet shark, 10' ",n
3243,fishing,12,m,"copper shark, 50-kg [110-b] ",n
3245,spearfishing,25,m,Blue shark,n
3249,surfing,17,m,White shark,n
3250,hookah diving for abalone,29,m,White shark,n
3251,swimming,20,f,Mako shark,n
3252,scuba diving,41,m,White shark,n
3253,scuba diving,48,m,White shark,n
3255,surfing,24,m,White shark,n
3262,free diving,36,m,White shark,n
3263,swimming,17,m,small sharks',y
3264,adrift after the sinking of the motor yacht princess dianne,10,m,3.7 m [12'] sharks,y
3266,free diving,45,m,White shark,n
3268,spearfishing,22,m,Raggedtooth shark,n
3271,surfing,17,m,juvenile dusky shark,n
3272,surfing,21,m,1.8 m [6'] shark,n
3278,sitting,42,m,Raggedtooth shark,n
3279,diving for abalone,26,m,White shark,y
3280,swimming,33,m,2 m to 2.5 m [6.75'  to 8.25'] shark,n
3294,spearfishing,11,m,Bull shark,n
3296,spearfishing,37,m,White shark,y
3299,surfing,16,m,12' shark,n
3300,crabbing (spearing crabs),17,m,Blacktip shark,n
3305,spearfishing,26,m,Blacktip shark,n
3313,swimming,25,m,2 m to 3 m shark,n
3320,surfing,19,m,Bronze whaler shark,n
3328,diving for abalone,45,m,White shark,n
3332,surfing,22,m,4.5' shark,n
3333,free diving,32,m,White shark,n
3334,spearfishing,27,m,1.5 m grey reef shark,n
3335,swimming,25,m,Tiger shark,y
3340,surfing,18,m,7' shark,n
3343,sitting in shallows,30,f,zambesi shark,n
3344,standing,24,m,White shark,n
3348,swimming,16,f,White shark,n
3352,surfing,18,m,5' to 6' shark,n
3353,swimming,25,m,1.5 m to 2 m shark,n
3354,scuba diving,30,m,White shark,n
3356,swimming,34,m,White shark,y
3358,scuba diving,26,m,Nurse shark,n
3361,surfing,21,m,White shark,n
3362,scuba diving,32,m,3.6 m  porbeagle shark,n
3363,swimming,16,m,"2 m [6'9""] shark",n
3364,swimming,50,m,White shark,y
3369,surfing,16,m,White shark,n
3371,surfing,15,m,White shark,n
3381,diving,43,m,1.8 to 2 m c. albimarginatus,n
3382,spearfishing,20,m,1 m shark,n
3389,fishing,13,m,7.5' shark,n
3390,scuba diving,25,m,Raggedtooth shark,n
3401,swimming,16,m,zambesi shark,n
3402,swimming,12,m,zambesi shark,n
3403,swimming,10,m,zambesi shark,n
3420,free diving,53,m,White shark,n
3424,surfing,13,m,4' shark,n
3433,diving,23,m,Nurse shark,n
3437,fishing,,m,"lemon shark, 9' ",n
3439,surfing,16,m,White shark,n
3440,fishing,49,m,7-gill shark,n
3446,feeding mullet to sharks,27,m,Nurse shark,n
3447,surfing,17,m,White shark,n
3449,spearfishing,28,m,Hammerhead shark,n
3451,fishing,22,m,"90-kg ""blackfin"" shark",n
3458,spearfishing,24,m,White shark,y
3463,fishing,18,m,2 m shark,n
3464,free diving,25,m,White shark,n
3466,spearfishing,33,m,4m [13'] shark,n
3469,spearfishing,17,m,1.5 m to 2 m [5' to 6.75'] caribbean reef shark ,n
3476,"diving. shark swallowed his hand, so he threw his other around the shark and went shark-back riding for 30 yards until the shark opened its jaws",21,m,Bronze whaler shark,n
3479,wading,35,m,1.5 m to 1.8m [5' to 6'] shark,n
3485,spearfishing,26,m,Bronze whaler shark,n
3492,surfing,22,m,1.5 m to 1.8 m [5' to 6'] shark,n
3497,freediving,15,m,Nurse shark,n
3503,standing,19,m,Blacktip shark,n
3510,spearfishing,23,m,3.7 m [12'] shark,y
3511,pulling shark from the water,24,m,Blue shark,n
3514,spearfishing,23,m,White shark,y
3518,spearfishing,15,m,Nurse shark,n
3519,photographing sharks underwater using scuba,41,m,1.5 m to 1.8 m [5' to 6'] sandbar shark,n
3524,spearfishing,26,m,Nurse shark,n
3527,feeding a shark,22,m,Nurse shark,n
3530,spearfishing,32,m,White shark,n
3531,spearfishing,36,m,Nurse shark,n
3533,lifesaving drill,21,m,White shark,y
3539,splashing,15,m,"""sand shark""",n
3540,fishing,30,m,2.1 m [7'] shark,n
3541,spearfishing,29,m,Nurse shark,n
3542,spearfishing,19,m,Nurse shark,n
3544,spearfishing,29,m,1.8 m [6'] shark,n
3546,bathing,9,f,3.7 m [12'] shark,y
3547,swimming,13,f,3.7 m [12'] shark,y
3548,bathing,8,f,3.7 m [12'] shark,y
3549,free diving,32,m,Bronze whaler shark,n
3553,spearfishing,43,m,Mako shark,n
3554,hunting crayfish ,14,m,Nurse shark,n
3559,swimming,13,f,a pack of 6 sharks,y
3560,diving into water,9,f,a pack of 6 sharks,y
3561,swimming,33,m,White shark,y
3563,attacked shark with fists,21,m,"""small shark""",n
3565,wading,8,m,Blacktip shark,n
3566,diving for sand dollars,16,m,lemon shark or sandtiger shark,n
3567,killing a shark,34,m,4' shark,n
3573,clamming,15,m,"local authorities speculated that the water was too cold for sharks, but a 2.1 m [7'], 200-lb pregnant sandbar shark was caught next day",n
3574,fishing,18,m,Hammerhead shark,n
3575,swimming,18,m,a small shark,n
3579,shipwreck,38,m,White shark,y
3586,treading water,13,m,White shark,n
3587,helping men land a shark,33,m,copper shark,n
3589,spearfishing,29,m,White shark,n
3590,spearfishing,30,m,Wobbegong shark,n
3592,standing,16,m,1.5 m to 1.8 m [5' to 6'] zambesi shark,n
3593,jumped into the water,43,m,76 cm [2.5'] carpet shark,n
3594,surfing,15,m,"1.8 m to 2 m [6' to 6'9""] shark",n
3596,swimming,35,m,Hammerhead shark,n
3598,spearfishing,40,m,1.8 m [6'] carpet shark,n
3601,fishing,43,m,4.6 m [15'] shark,y
3604,surfing,24,m,Nurse shark,n
3606,sunbathing on beach when he saw child being attacked by the shark,32,m,"1.8 m [6'], 180-lb shark",n
3608,spearfishing,15,m,2 sharks involved,y
3630,spearfishing,28,m,White shark,n
3631,walking,8,m,Tiger shark,n
3632,paddling,17,m,Blacktip shark,n
3634,free diving,16,m,Mako shark,n
3635,treading water,25,m,"1.8 m [6'], 136-kg [300-lb] shark ",n
3636,scuba diving,18,m,1.2 m [4'] shark,n
3638,paddling,22,m,White shark,n
3641,free diving,30,m,4.9 m [16'] whaler,y
3646,spearfishing,25,m,Mako shark,n
3649,swimming,19,m,Raggedtooth shark,n
3652,swimming,28,m,2.1 m [7'] shark,n
3654,free diving,25,m,White shark,n
3656,"filming underwater, carrying powerhead",25,m,White shark,n
3660,swimming,19,m,Nurse shark,n
3663,swimming,20,m,1.8 m [6'] shark,n
3665,floating on his back in an inner tube,19,m,1.8 to 2.4 m [6' to 8'] shark,n
3668,spearfishing,28,m,Hammerhead shark,n
3670,free diving,21,m,less than 1.2 m [4'],n
3672,searching for remains of  dr. marais,30,m,zambesi shark,n
3684,standing,47,m,lemon shark ,n
3685,spearfishing,35,m,Tiger shark,y
3686,skin diving,13,m,1.8 m [6'] shark,y
3688,surfing,19,m,1.8 m [6'] shark,n
3690,skin diving ,38,m,1.7 m [5.5'] shark,n
3696,spearfishing,26,m,White shark,n
3697,body boarding,25,m,White shark,n
3699,swimming,19,m,White shark,y
3702,floating,12,m,Hammerhead shark,n
3709,spearfishing,21,m,White shark,n
3715,standing,20,f,"zambesi shark, 1.8 m [6'] ",n
3716,swimming,24,m,1.8 m [6']  shark,n
3720,helping friend land hooked shark,13,m,"dusky shark, 1 m ",n
3723,splashing in surf,15,m,300- to 400-lb zambesi shark,y
3724,spearfishing,23,m,White shark,n
3725,spearfishing,22,m,Tiger shark,y
3726,treading water while alongside capsized yacht,20,m,possibly a broadnose 7-gill shark,n
3727,fishing,18,f,Tiger shark,n
3728,fishing,21,f,Tiger shark,n
3734,fishing,35,m,dooley believed his injury was caused by stingray (dasyatidae family),n
3735,fishing,28,m,500-lb shark,n
3739,spearing fish,30,m,5.5 m [18'] shark,y
3740,surfing,18,m,1.5 m [5'] shark,n
3741,spearfishing,16,m,Nurse shark,n
3742,swimming,23,m,8 sharks,y
3743,spearfishing,26,m,Tiger shark,n
3745,fishing,24,m,1.2 m [4'] shark,n
3748,swimming,42,f,White shark,y
3749,fishing,30,m,1.8 m [6'] shark,n
3753,swimming,25,m,"hand found in gut of 2.9 m to 3.3 m [9'7"" to 10'11""] galapagos shark, c. galapagensis",y
3755,surfing,25,m,1.8 m to 2.4 m  [6' to 8'] shark,n
3756,surfing,15,m,3.7 to 4.5 m [12' to 15'] shark seen in vicinity,n
3760,spearfishing,18,m,Bronze whaler shark,n
3761,spearfishing,28,m,White shark,n
3765,wading,32,f,Bull shark,y
3770,free diving,27,m,1 m shark,n
3771,spearfishing,24,m,"zambesi shark, 2 m [6'9""] ",n
3777,spearfishing,16,m,White shark,y
3779,spearfishing,26,m,3 m [10'] shark,n
3781,spearfishing,24,m,White shark,n
3785,wading,32,m,2.7 m [9'] shark,y
3790,spearfishing,24,m,Blacktip shark,n
3793,spearfishing,28,m,White shark,y
3796,fishing,49,m,"""a long thin brown-colored shark""",n
3797,diving for abalone,39,m,"horn shar,k heterodontus francisci, 1.2 m [4'] ",n
3800,fishing,40,m,unknown,y
3801,standing,24,m,1.8 m [6'] shark,n
3804,beach seine netting,23,m,3.5 m shark,n
3805,standing,21,m,1.8 m to 2.4 m [6' to 8'] shark,n
3806,finning the shark,20,m,"2 m [6'9""] shark",n
3807,fishing,19,m,Blue shark,n
3813,rolled off raft,11,m,1.8 m [6'] shark,n
3820,scuba diving,55,m," sevengill  shark, 1.2 m [4'] ",n
3827,wading,13,m,"zambesi shark, 1.2 m [4'] ",n
3831,swimming,10,m,Bronze whaler shark,y
3833,swimming,15,m,1.8 m [6'] shark,n
3836,treading water,13,m,White shark,y
3837,swimming,35,m,60 cm  shark ,n
3840,splashing ,18,m,1.5 m [5'] shark,n
3842,spearfishing,19,m,Bronze whaler shark,n
3846,spearfishing,29,m,White shark,n
3848,surfing,19,m,Bronze whaler shark,n
3850,spearfishing,24,m,White shark,n
3851,fishing,54,f,"36""  shark",n
3858,fishing,57,m,1.8 m [6'] shark,n
3862,standing,18,f,3 m [10'] shark,y
3863,standing,24,m,3 m [10'] shark,n
3864,treading water,18,m,zambesi shark,n
3865,spearfishing,23,m,Nurse shark,n
3868,surfing,22,m,next morning a 3 m [10'] shark was caught that had andrews' leg in its gut,y
3869,swimming,17,m,1.8 m [6'] shark,n
3876,swimming,19,m,White shark,y
3878,"survived us naval aircraft crash, climbing onboard rescue vessel when he fell back into sea ",22,m,"oceanic whitetip shar,; identified by dr. w.c. schoeder on photograph & dr. l.p. l. schultz on sketch by observer",n
3880,fishing,33,m,1 m shark,n
3882,swimming,16,m,White shark,n
3883,wading,19,m,White shark,n
3884,spearfishing,22,m,Blacktip shark,n
3885,fishing,38,m,2.4 m [8'] shark,n
3887,spearfishing,57,m,"43"" shark",n
3890,spearfishing,21,m,White shark,n
3896,fishing,19,m,2.7 m [9']shark,n
3897,free diving,20,m,White shark,n
3899,walking,52,m,Hammerhead shark,n
3903,swimming,37,m,zambesi shark,n
3905,spearfishing,22,m,Tiger shark,n
3906,spearfishing,21,m,Wobbegong shark,n
3907,"checking fish traps, fell into the water",40,m," ""gummy"" shark (rhizoprionodon or loxodon) 1.2 m [4']",n
3908,swimming,38,m,zambesi shark,y
3910,spearfishing,24,m,Nurse shark,n
3912,spearfishing,24,m,Bronze whaler shark,n
3913,swimming,24,m,3 m [10'] shark,n
3915,spearfishing,21,m,White shark,n
3916,free diving,33,m,"grey reef shark, 1.8 m [6'] grey reef shark, identified by dr. l.p. l. schultz based on photographs; identified as c. melanopterus by stewart",n
3917,fishing,44,m,"zambesi shark, 4'9""",n
3922,spearfishing,27,m,1.5 m [5'] shark,n
3923,swimming,14,m,"2.1 m [7'], 90-kg shark",y
3927,swimming,15,m,White shark,n
3928,collecting aquarium specimens,27,m,Wobbegong shark,n
3929,standing,13,m,White shark,n
3939,free diving,20,m,> 3 m shark,y
3943,swimming,25,m,White shark,y
3944,fishing,33,m,Nurse shark,n
3946,swimming,41,m,3' shark,n
3949,spearfishing,24,m,Wobbegong shark,n
3974,holding shark on leader & dangling it above the water,15,m,"lemon shark, 1164 mm, immature male, identified by  v.g. springer",n
3975,helping angler land a shark,25,m,80-lb hooked shark,n
3976,fishing,46,m,2.4 m [8'] shark,n
3980,fishing,41,m,"""sand shark""",n
3984,fishing,18,m,"""a small shark""",n
3985,scuba diving,39,m,Mako shark,n
3990,free diving,25,m,"dusky shark, 2.7 m [9'] dusky shark c. obscurus identified by s. springer on tooth recovered",n
3991,swimming,16,f,White shark,n
3994,treading water,16,m,White shark,n
3995,skindiving for abalone (but at surface),48,m,White shark,n
3999,surfing,17,m,White shark,n
4007,treading water,42,m,"1.2 m [4'], possibly  larger shark",n
4008,spearfishing,44,m,1.2 m [4'] shark,n
4009,fishing,30,m,two 2.1 m [7'] sharks,n
4010,spearfishing,22,m,Bronze whaler shark,n
4013,spearfishing,26,m,Tiger shark,y
4015,spearfishing,20,m,Nurse shark,n
4020,free diving,13,m,Bull shark,y
4039,spearfishing,17,m,2.7 m [9']  shark,n
4043,surfing,19,m,3.5 m [11.5'] shark,n
4044,standing,17,m,"""a small shark""",n
4045,trailing the field in a surf race,19,m,3 m to 4.3 m [10' to 14'] shark,n
4049,swimming,21,m,Blue shark,n
4054,diving for abalone,30,m,White shark,n
4056,spearfishing,36,m,Tiger shark,n
4059,"adrift, hanging onto cushion, after his 17' skiff ran out of gas & capsized 3 miles from shore",30,m,Hammerhead shark,n
4070,spearfishing,26,m,3.7 m [12'] shark,y
4073,spearfishing,32,m,Hammerhead shark,n
4075,swimming,13,m,Blue shark,y
4080,spearfishing,25,m,Hammerhead shark,n
4086,free diving,13,m,Nurse shark,n
4091,free diving,33,m,White shark,y
4093,spearfishing,23,m,White shark,n
4095,treading water,18,m,White shark,y
4096,spearfishing,19,m,Tiger shark,n
4099,diving for pearl shell,43,m,Tiger shark,n
4110,treading water,14,m,1.8 to 2.1 m [6' to 7'] shark,n
4111,working prawn net,20,m,Nurse shark,n
4112,washed overboard into school of fish,57,m,bitten by several 1.8 m [6'] sharks,n
4114,in deep water about 100 yards from his ship,22,m,said to involve 2 sharks: 5.2 m & 6 m [17' & 20'] ,y
4115,surfing,17,m,1.8 m [6'] shark,n
4116,swimming,18,m,White shark,n
4130,surfing,15,m,Tiger shark,y
4131,cleaning hull of ship ,22,m,Tiger shark,y
4132,swimming,21,m,12' shark,y
4140,"""climbing up to ship after repairing the stern in water""",32,m,Blue shark,y
4141,fishing,42,m,200-lb shark,n
4146,swimming,12,m,Tiger shark,n
4147,swimming,8,m,Tiger shark,n
4151,u.s. airforce c124 enroute from hickham air base to japan went down. the 3 survivors fashioned raft from mailbags  & were rescued 3 days after the crash.,31,m,sharks averaged 1.8 m [6'] in length,n
4152,free diving,20,m,Nurse shark,n
4154,spearfishing,36,m,Tiger shark,n
4156,wading,59,m,Nurse shark,n
4157,walking,17,m,Tiger shark,n
4161,free diving,29,m,Nurse shark,n
4162,diving,29,m,Mako shark,n
4163,paddling,28,f,3 m [10'] shark,y
4164,swimming,29,m,3 m [10'] shark,y
4167,spearfishing,18,m,Nurse shark,n
4169,surfing,14,m,6' shark,n
4182,standing,14,f,1.8 m [6'] shark,n
4184,floating,23,m,>3 m [10'] shark,y
4194,swimming,57,m,White shark,y
4195,diving for trochus,36,m,9' shark,n
4197,spearfishing,28,m,4.6 m [15'] shark,n
4200,swimming,25,m,White shark,y
4201,surfing,15,m,Wobbegong shark,n
4202,standing,17,m,4 m [13'] shark,n
4203,swimming,22,m,shark seen feeding on turtle scraps thrown overboard prior to incident.,n
4222,spearfishing,19,m,Tiger shark,y
4225,fishing,70,m,Mako shark,n
4226,free diving,29,m,White shark,n
4228,"skindiving, fish at belt",19,m,lemon shark,n
4230,fishing,27,m,a sand shark,n
4234,fishing,34,m,4.3 m [14'] shark,y
4238,swimming,10,m,White shark,n
4246,fishing,38,m,8-lb shark,n
4247,swimming,40,m,White shark,y
4258,swimming,26,m,3.7 m [12'] shark & may have been another shark nearby,y
4260,diving into water,15,m,1.8 m [6'] shark,y
4264,surf skiing,25,m,5' to 6' shark,n
4267,swimming,15,f,White shark,y
4275,swimming,8,m,Wobbegong shark,n
4277,spearfishing,28,m,6' shark,n
4284,surfing,25,m,Blue shark,n
4285,swimming,32,f,White shark,y
4286,swimming,28,m,Blue shark,y
4291,wading,13,m,0.7 m [2.5'] sand shark,n
4294,spearfishing,28,m,2 m [6.75'] shark,n
4303,spearfishing,19,m,White shark,n
4304,swimming,25,m,White shark,y
4308,hunting lobsters in 2.4 m of water,13,m,Bronze whaler shark,y
4314,spearfishing,12,m,1.5 m [5'] shark,n
4322,fishing,62,m,20' shark,n
4325,swimming,35,m,1.5 m [5'] shark,n
4327,spearfishing,35,m,9' shark,y
4336,swimming,22,m,"2.4 m [8'] shark, possibly a dusky shark",n
4340,pearl diving from lugger whyalla,30,m,2.4 m [8']  shark,n
4349,floating,18,m,White shark,n
4350,crouching in the water,26,m,14' shark,n
4366,fishing,15,m,80-lb sand shark,n
4370,spearfishing,15,m,3 m [10'] shark seen in vicinity,y
4387,spearfishing,25,m,Wobbegong shark,n
4395,fishing,25,m,2.4 m [8'] shark,n
4397,fishing,17,m,200-lb shark,n
4399,surfing,17,m,White shark,y
4400,swimming,40,m,>6.7 m [22']  shark,y
4405,fishing,43,m,a small shark',n
4406,fishing,34,m,a small shark',n
4424,spearfishing,18,m,Wobbegong shark,n
4426,treading water,21,m,2.4 m [8']  shark,y
4427,swimming,23,m,White shark,n
4429,treading water,24,m,White shark,n
4436,swimming,18,m,White shark,n
4437,swimming,16,f,White shark,y
4441,fell overboard,40,m,2.1 m [7'] shark,n
4446,fell off surf ski,23,m,Wobbegong shark,n
4447,fishing,,m,5.5 m [18'] shark,n
4449,surfing,31,m,136-kg [300-lb] shark,n
4451,swimming,14,m,1.2 m [4'] shark,n
4455,paddling,19,m,Nurse shark,n
4458,diving ,17,m,2' shark,n
4459,surfing,21,m,White shark,n
4460,paddling,18,m,10' shark,n
4461,surfing,31,m,White shark,n
4462,fishing,25,m,4' shark,n
4463,fishing,27,m,"1,100-lb shark",n
4469,swimming,11,m,Hammerhead shark,n
4471,standing,21,m,0.7 m [2.5'] shark,n
4472,swimming,16,m,"""sand shark""",n
4482,surfing,14,m,White shark,y
4489,bending over,7,m,Tiger shark,y
4499,lying on the bottom of a 16' dinghy,35,m,Nurse shark,n
4500,wading,36,m,6' shark,n
4510,fishing,16,m,"bonita sharkk, 200-lb",n
4512,bathing,22,f,"whaler shark, 2.7 m [9'], 350- to 450-lb  identified by g.p. whitley",n
4515,bathing,13,m,"3.3 m [10'9""] shark",y
4518,lifesaving exhibition,20,m,White shark,y
4529,swimming,17,m,Tiger shark,y
4536,swimming,17,m,said to be 6.4 m [21'] shark,y
4544,spearing a shark,41,m,"lemon shark, 4'",n
4551,spearfishing,30,m,"""grey shark""",n
4553,swimming,16,m,3.7 m [12'] shark,y
4555,underwater photography,48,m,Nurse shark,n
4559,fishing,9,m,Nurse shark,n
4570,swimming,20,m,possibly c. leucas,y
4571,fishing,46,m,a small shark,n
4578,treading water,21,m,"1.5 m, 45-kg shark",n
4583,treading water,22,m,Blacktip shark,n
4588,treading water,18,m,>1.6 m shark,n
4595,swimming,30,m,4.3 m [14'] shark,y
4597,swimming,12,m,possibly c. leucas,n
4604,standing,18,m,White shark,n
4609,jumping in swells,18,m,1.5 m [5'] shark,n
4625,walking,37,m,thought to involve a zambesi shark,n
4630,swimming,15,m,Bull shark,n
4631,swimming,19,m,9' shark,n
4644,swimming,17,m,White shark,y
4646,bathing,15,f,Blacktip shark,n
4667,dived overboard to check propeller of us navy motor torpedo boat,20,m,White shark,y
4672,fishing,18,m,White shark,n
4690,paddling,15,f,Bull shark,y
4698,swimming,18,m,White shark,y
4704,treading water,24,m,Tiger shark,n
4708,sculling,20,m,porbeagle shark,n
4718,swimming,28,f,Bull shark,y
4725,swimming,48,m,1.2 m to 1.5 m [4' to 5'] shark,n
4733,hmas parramatta torpedoed & sunk by the u-559,23,m,Tiger shark,n
4743,fishing,43,m,2.1 m [7'] shark,n
4746,fishing,53,m,Mako shark,n
4762,bathing,18,m,5.5 m [18'] shark,y
4766,treading water,25,m,White shark,y
4768,swimming,17,m,White shark,y
4771,dived into the water,17,m,"""a small shark""",n
4772,swimming,13,m,3 m [10'] shark,y
4774,swimming,18,m,2.4 m [8'] shark,y
4783,swimming,20,m,2.6 m [8.5'] shark landed 2 hours later,y
4789,swimming,27,m,Tiger shark,n
4794,"dress diving, filming shark & pulling it through the water for a motion picture scene",38,m,Nurse shark,n
4801,scooping prawns,11,m,7' shark,n
4808,fishing,18,m,Tiger shark,n
4818,swimming,9,m,Bull shark,n
4827,surfing,50,m,"""grey-colored shark""",n
4832,diving for trochus,17,m,12' shark,y
4834,swimming,25,m,Tiger shark,y
4835,swimming,18,m,Tiger shark,y
4836,swimming,16,m,2.4 m [8'] shark,n
4842,"diving from the lugger san, operated by the protector of the aborigines",38,m,Tiger shark,n
4851,swimming,33,m,2 days later a 600-lb shark was caught 100 yards from the site,y
4854,swimming,32,m,White shark,y
4857,fishing,20,m,"3' ""blue nosed"" shark",n
4859,holding shark's tail ,18,m,Nurse shark,n
4865,fishing,50,m,White shark,y
4874,swimming,16,m,White shark,y
4878,swimming,16,m,Tiger shark,y
4880,diving for trochus,16,m,Tiger shark,n
4888,swimming,14,m,White shark,y
4889,swimming,13,m,White shark,y
4897,"fell overboard, hanging onto lifebuoy",38,m,3.7 m [12'] shark,y
4904,fishing,31,m,4.6 m [15'] shark,n
4916,hauling in net with shark in it,38,m,"""blue nose shark""",n
4918,swimming,27,m,White shark,y
4919,standing,22,m,White shark,y
4925,splashing,13,f,Tiger shark,n
4936,swimming,18,f,White shark,y
4944,swimming,15,m,4.3 m [14'] shark seen in vicinity,y
4945,swimming,17,m,4 m [13'] shark seen in vicinity,y
4951,swimming,22,m,4.3 m [14'] shark seen in area previous week,n
4953,pearl diving,17,m,Tiger shark,n
4961,sitting in 3' of water,15,m,thought to involve a 2.4 m [8'] lemon shark; two 2.4 m lemon sharks caught within 100 yds of the site a week prior to & a week after this incident,n
